0, 00111111101101110000101001000000
1, 00111111101111101011100001010000
2, 00111111110000111101011100010000
3, 00111111110011001100110011010000
4, 00111111110010100011110101110000
5, 00111111110100110011001101000000
6, 00111111110100001010001111100000
7, 00111111110011110101110000110000
8, 00111111110101000111101011100000
9, 00111111110100011110101110010000
10, 00111111110101110000101001000000
11, 00111111110110101110000101000000
12, 00111111110100110011001100110000
13, 00111111110101110000101001000000
14, 00111111110111010111000010110000
15, 00111111110110011001100110100000
16, 00111111110101011100001010010000
17, 00111111110110101110000101010000
18, 00111111110100110011001101000000
19, 00111111110100011110101110010000
20, 00111111110101011100001010010000
21, 00111111110101011100001010010000
22, 00111111110111101011100001010000
23, 00111111111000000000000000000000
24, 00111111111000101000111101100000
